acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre
"Wendy Chinchilla Araya,Ana Julia Porras Espinoza,Daniel Castañeda Rincón",6,106,8643,Drame,Suède,Nathalie Álvarez Mesén,Epicentre Films,Clara Sola
"David Murgia,Slimane Dazi,Karoline Rose Sun",6,100,12011,Drame,France,Tony Gatlif,Les Films du Losange,Tom Medina
"Taraneh Alidoosti,Navid Mohammadzadeh,Esmail Poor-Reza",6,107,16175,Drame,Iran,Mani Haghighi,Diaphana Distribution,Les Ombres persanes
"Mari Oliveira,Lara Tremouroux,Joana Medeiros",6,128,1316,"Fantastique,Epouvante-horreur",Brésil,Anita Rocha da Silveira,Wayna Pitch,Medusa
"Kevin Mischel,Aurélia Poirier,June Assal",5,93,40,"Romance,Thriller",France,Marc Fouchard,Next Film Distribution,Hors du monde
"Achouackh Abakar,Rihane Khalil Alio,Youssouf Djaoro",8,88,5606,Drame,France,Mahamat-Saleh Haroun,Ad Vitam,"Lingui, les liens sacrés"
"Ali Suliman,Maisa Abd Elhadi,Manal Awad",5,90,3389,"Espionnage,Thriller",Palestine,Hany Abu-Assad,Destiny Films,Le Piège de Huda
"Nora Navas,Roger Casamajor,Bruna Cusí",3,103,2581,"Policier,Thriller",Espagne,Lluis Danès,Destiny Films,Les Mystères de Barcelone
,0,60,3061,"Famille,Spectacle",France,Legrand Bemba-Debert,Pathé Live,Princes et princesses : le spectacle au cinéma
"Nick Nolte,Kalipha Touray,Charlotte Rampling",7,126,4297,"Drame,Science Fiction",Italie,Jonathan Nossiter,Jour2fête,Last Words
"Andrea Fandos,Natalia de Molina,Zoe Arnao",8,90,5990,Drame,Espagne,Pilar Palomero,Epicentre Films,Las niñas
"Ali Junejo,Rasti Farooq,Alina Khan",5,126,32996,"Drame,Romance",Pakistan,Saim Sadiq,Condor Distribution,Joyland
"Vera Gemma,Daniel De Palma,Sebastian Dascalu",5,115,894,Drame,Autriche,"Tizza Covi,Rainer Frimmel",Les Films de l'Atalante,Vera
"Antonio Pitanga,Ana Flavia Cavalcanti,Soren Hellerup",8,93,125,Drame,Brésil,João Paulo Miranda Maria,Tamasa Distribution,Memory House
"Ali Bagheri,Farrokh Nemati,Mahdieh Nassaj",0,102,548,Drame,Iran,Ahmad Bahrami,Bodega Films,The Wasteland
"Canan Kir,Roger Azar,Özay Fecht",6,119,1724,Drame,Allemagne,Anne Zohra Berrached,Haut et Court,Ce qui reste
"Max Carolan,Ava Connolly,Dermot Magennis",1,86,37007,"Aventure,Animation,Famille",Irlande,"Toby Genkel,Sean McCormack (II)",Paradis Films,Oups ! J’ai encore raté l’arche…
"Alban Ivanov,Fatsah Bouyahmed,Clotilde Courau",10,85,72100,Comédie,France,Ahmed Hamidi,UGC Distribution,Le Médecin imaginaire
"Daniela Marin Navarro,Reinaldo Amien Gutierrez,José Pablo Segreda Johanning",4,103,313,Drame,Belgique,Valentina Maurel,Geko Films,Tengo sueños eléctricos
"Christian Clavier,Benoît Poelvoorde,Thierry Lhermitte",8,91,116540,Comédie,France,Nicolas Benamou,StudioCanal,Mystère à Saint-Tropez : une enquête de l'inspecteur Boulin
"Elsa Wolliaston,Aimie Lombard,Olga Mouak",6,78,874,Drame,France,Damien Manivel,Météore Films,Magdala
"Flora Ofelia Hofman Lindahl,Ida Cæcilie Rasmussen,Thure Lindhardt",5,86,4306,Drame,Danemark,Tea Lindeburg,UFO Distribution,La Dernière nuit de Lise Broholm
"Tiara Richards,Everon Jackson Hooi,Felix de Rooy",6,86,1052,Drame,Pays-Bas,Eché Janga,Les Films du Préau,Buladó
"Toni Collette,Damian Lewis,Owen Teale",6,113,7368,"Biopic,Comédie,Drame",Grande-Bretagne,Euros Lyn,Eurozoom,Dream Horse
"Igor Gromov,Igor Gromov,Vakhtang Kuchava",3,78,1060,Expérimental,Russie,Alexandre Sokourov,Les Films de l'Atalante,Skazka
"Philippe Katerine,Masataka Kubota,Fanny Bloc",7,100,71513,"Animation,Fantastique",Japon,Yusuke Hirota,Art House,De l'autre côté du ciel
"Ali Nassirian,Javad Ezati,Tannaz Tabatabaei",5,99,2044,Drame,Iran,Majid Majidi,Bodega Films,Les Enfants du soleil
"Minami Hamabe,Megumi Hayashibara,Kenichi Ogata",0,110,13102,"Action,Animation,Policier",Japon,Chika Nagaoka,Eurozoom,Detective Conan - The Scarlet Bullet
"John Magaro,Orion Lee,Toby Jones",12,122,26646,"Drame,Western",U.S.A.,Kelly Reichardt,Condor Distribution,First Cow
"Corinne Masiero,Vincent Chalambert,Karina Marimon",8,97,27833,Comédie,France,Frank Cimière,Sony Pictures Releasing France,La Marginale
"Milana Aguzarova,Alik Karaev,Soslan Khugaev",8,96,11271,Drame,Russie,Kira Kovalenko,ARP Sélection,Les Poings desserrés
"Rose Pou Pellicer,Juliette Havelange,Marina Foïs",6,100,45250,"Comédie,Drame",France,Eric Lartigau,StudioCanal,Cet été-là
"Leonardo Sbaraglia,Miranda de la Serna,Eva Llorach",5,112,816,"Drame,Romance",Argentine,Leonardo Brzezicki,Optimale Distribution,Coeur errant
"Dagmara Dominczyk,Matthew Modine,Michele Pawk",5,108,402,"Animation,Romance",Lettonie,Signe Baumane,Tamasa Distribution,My Love Affair with Marriage
"Emmanuel Garijo,Gabriel Bismuth-Bienaimé,Bruno Magne",0,43,12904,"Animation,Comédie,Famille",France,Matthieu Auvray,Cinéma Public Films,Jean-Michel le caribou et les histoires d'amour interdites
"Maria Zreik,Khawla Ibraheem,Tsahi Halevi",6,99,4920,"Comédie,Drame",Israël,Amos Gitaï,Epicentre Films,Laila in Haifa
"Peter Simonischek,Daniel Donskoy,Mehdi Meskar",2,111,5161,Drame,Allemagne,Dror Zahavi,Bodega Films,Crescendo
"Omar Abdi,Yasmin Warsame,Kadar Abdoul-Aziz Ibrahim",6,82,842,Drame,Finlande,Khadar Ahmed,Orange studio / Urban Distribution,La Femme du fossoyeur
,3,42,12670,Animation,France,"Emmanuelle Gorgiard,Benjamin Botella,Arnaud Demuynck",Cinéma Public Films,Le Quatuor à cornes Là-haut sur la montagne
"Shin Seokho,Mi-so Park,Kim Young-Ho",2,66,3830,Drame,Corée du Sud,Hong Sang-Soo,Capricci Films,Introduction
"Stéphane Auvray-Nauroy,Olav Benestvedt,Stéphane Colle",0,96,154,Drame,France,Paul-Anthony Mille,Saje Distribution,Laissons les morts engloutir les morts
"Simon Bourgade,Sarah Brannens,Etienne Durot",8,81,28,Comédie,France,"Simon Rembado,Clément Schneider",Shellac,La Cure
"João Luís Arrais,Grégory Gadebois,Maria João Pinho",3,109,1447,"Drame,Historique",France,"Marguerite de Hillerin,Félix Dutilloy-Liégeois",Alfama Films,L'Enfant
"Alfredo Castro,Leonardo Ortizgris,Julieta Zylberberg",5,93,5652,"Drame,Historique,Romance",Chili,Rodrigo Sepúlveda,Outplay Films,Je tremble ô Matador
"Vicky Krieps,Arieh Worthalter,Aurélia Petit",7,97,43695,Drame,France,Mathieu Amalric,Gaumont Distribution,Serre Moi Fort
"Michelle Williams,Hong Chau,André Benjamin",7,108,33136,"Comédie,Drame",U.S.A.,Kelly Reichardt,Diaphana Distribution,Showing Up
"Didier Moreira,Romain Torres,Sabine d’Halluin",0,83,57,Drame,France,Jean-Louis Cros,Cinéma Saint-André des Arts,La Fraude
"Giorgi Bochorishvili,Ani Karseladze,Oliko Barbakadze",6,151,1914,"Comédie,Comédie dramatique,Drame",Géorgie,Aleksandre Koberidze,Damned Distribution,Sous le ciel de Koutaïssi
"Natalya Pavlenkova,Natalya Potapova,Kseniya Zueva",5,130,559,Drame,Russie,Ivan I. Tverdovsky,Destiny Films,Conférence
"Julie Ledru,Yanis Lafki,Antonia Buresi",9,106,22033,Drame,France,Lola Quivoron,Les Films du Losange,Rodéo
"Rebecca Gerstmann,Pernilla August,Melinda Kinnaman",1,72,5076,"Animation,Famille",Suède,Linda Hambäck,Les Films du Préau,Ma mère est un gorille (et alors?)
"Joakim Robillard,Théodore Pellerin,James Hyndman",6,97,286,Drame,Canada,Sophie Dupuis,Les Alchimistes,Souterrain
"Obinna Nwachukwu,Dennis Lindsey,Taline Stewart",6,90,1105,Drame,U.S.A.,Merawi Gerima,Capricci Films,Residue
"Samuel González,Antonio Altamirano,Marcela Salinas",4,98,1715,"Drame,Romance",Chili,Omar Zúñiga Hidalgo,Optimale Distribution,Los Fuertes
"Gael Vazquez,José Antonio Becerril,Yoshira Escárrega",3,89,127,Drame,Mexique,Diana Cardozo (II),Bobine Films,Estación catorce
"Kai Ko,Bai Yufan,J.C. Lin",7,118,8223,Drame,France, C.B. Yi,ARP Sélection,Moneyboys
"Lucie Debay,Hélène Bressiant,Judith Williquet",4,82,596,Comédie dramatique,Belgique,Claude Schmitz,Shellac,Lucie perd son cheval
"Antony Hickling,Jean-Christophe Bouvet,Dominique Frot",2,100,334,"Drame,Romance",France,Antony Hickling,Optimale Distribution,Down In Paris
"André Lewski,Uwe Steinmetz",0,89,18,Expérimental,Allemagne,Arnaud Gerber,Cinéma Saint-André des Arts,Hypérion s’est échappé
"Thaveeratana Leelanuja,Prapamonton Eiamchan,Sorabodee Changsiri",5,118,250,Drame,Thaïlande,Jakrawal Nilthamrong,Damned Distribution,Anatomy of Time
"Baran Kosari,Ali Bagheri",4,98,76,Thriller,Iran,Ahmad Bahrami,Bodega Films,The Wastetown
"Clay Tatum,Whitmer Thomas,Whitney Weir",3,104,1371,Comédie,U.S.A.,Clay Tatum,Damned Distribution,Ghost Therapy
"Umut Karadağ,Filiz Bozok,Mahir Günşiray",5,147,5671,Drame,Turquie,Semih Kaplanoğlu,ARP Sélection,Les Promesses d’Hasan
"Julie Moulier,Lucie Debay,Arnaud Valois",4,86,174,Drame,France,Fabienne Godet,Jour2fête,Si demain
"Louis Næss-Schmidt,Sofie Torp,Jesper Christensen",0,80,21988,"Aventure,Animation,Famille",Danemark,Amalie Næsby Fick,KMBO,"Extra : Allan, Britney et le vaisseau spatial"
"Jayam Ravi,Keerthy Suresh,Anupama Parameswaran",0,155,1221,"Action,Thriller",Inde,Anthony Bhagyaraj,Night ed films,Siren
"Elodie Atsadé,Daniel Jenny,Sidiki Bakaba",0,78,101,Drame,France,Enrico Giordano,Mob productions,La Jungle est mon jardin
"Madalina Maria Jekal,Luciano Miele,Enzo Casertano",3,95,1795,Drame,Italie,Dario Albertini,Le Pacte,Anima Bella
,1,49,5035,Animation,France,"Lizete Upīte,Anastasia Melikhova,Jöns Mellgren",Les Films du Préau,Balades sous les étoiles
"Shai Avivi,Noam Imber,Smadi Wolfman",6,94,4244,"Aventure,Drame",Israël,Nir Bergman,Dulac Distribution,My Kid
"Nahuel Perez Biscayart,Cristian Borges,Justina Bustos",6,106,5472,"Drame,Thriller",Uruguay,Manuel Nieto Zas,Eurozoom,Employé / patron
"Happy Salma,Rieke Diah Pitaloka,Laura Basuki",0,103,5016,Drame,Indonésie,Kamila Andini,ARP Sélection,Une femme indonésienne
"Marius Povilas Elijas Martinenko,Arvydas Dapsys,Alina Zaliukaite-Ramanauskiene",6,127,3482,"Drame,Historique",Lituanie,Sharunas Bartas,Shellac,Au crépuscule
"Gérard Depardieu,Sandrine Bonnaire,Bastien Bouillon",6,91,32871,"Comédie,Drame",France,Slony Sow,Zinc Film,Umami
"Manal Issa,Roger Azar,Yara Abou Haidar",5,116,1136,Drame,Liban,Ely Dagher,JHR Films / Jour2Fête,Face à la mer
"Piseth Chhun,Sithan Hout,Sokha Uk",8,90,2315,Drame,Cambodge,Kavich Neang,Les Films du Losange,White Building
"Shintarô Sakamoto,Ren Komai,Tomoya Maeno",0,71,1007,"Animation,Drame",Japon,Kenji Iwaisawa,Eurozoom,On-Gaku : Notre Rock !
"Rosy McEwen,Kerrie Hayes,Lucy Halliday",4,97,12376,Drame,Grande-Bretagne,Georgia Oakley,UFO Distribution,Blue Jean
,0,53,330,"Animation,Famille",Grande-Bretagne,"Jeroen Jaspaert,Max Lang,Daniel Snaddon",Les Films du Préau,"C'est Magic ! - Sucré, salé..."
"Théo Kermel,Pierre Meunier,Ayumi Roux",6,96,969,Comédie dramatique,France,Damien Odoul,Wild Bunch Distribution,Théo et les métamorphoses
"Arielle Dombasle,Julie Depardieu,Cédric Kahn",4,88,5335,"Historique,Romance",France,Arielle Dombasle,ARP Sélection,Les Secrets de la princesse de Cadignan
"Didier Bourdon,Pierre-François Martin-Laval,Valérie Karsenti",6,85,55577,Comédie,France,Xavier Durringer,Orange Studio Distribution / UGC Distribution,L'Homme parfait
"Farouk Saidi,Aldo Dolphin,Marie Lanfroy",4,77,497,"Drame,Fantastique",France,Emmanuel Parraud,DHR distribution / A Vif Cinemas,Maudit!
"Ashok Selvan,Shanthnu Bhagyaraj,Keerthi Pandian",0,165,262,"Comédie,Drame,Évènement Sportif",Inde,S. Jayakumar,Friday Entertainment,Blue Star
"Romola Garai,Patrick Kennedy,John Gordon Sinclair",5,107,1651,"Biopic,Drame",Italie,Susanna Nicchiarelli,Les Valseurs,Miss Marx
"Fanny Roy,Jennifer Saunders,David Macaluso",3,75,9205,"Aventure,Animation,Famille",Allemagne,Michael Ekbladh,Gebeka Films,L’Anniversaire de Tommy
"Guillermo Francella,Diego Peretti,Juan Alari",4,114,5589,"Comédie,Policier",Argentine,Ariel Winograd,Eurozoom,Le Braquage du siècle
"Levan Tedaishvili,Giorgi Tabidze,Nadia Mikhalkova",4,96,4566,"Comédie,Drame",Géorgie,Levan Koguashvili,ARP Sélection,Brighton 4th
"Leandro Faria Lelo,Allan Jacinto Santana,Renata Carvalho",3,110,1033,"Drame,Romance",Brésil,Daniel Nolasco,Optimale Distribution,Vent chaud
"Annabelle Wallis,Maddie Hasson,George Young",4,111,69056,"Epouvante-horreur,Thriller",U.S.A.,James Wan,Warner Bros. France,Malignant
"Joseph Vijay,Rashmika Mandanna, Shaam",0,168,15401,"Action,Drame",Inde,Vamshi Paidipally,Friday Entertainment,Vamshajan
"Jessica Mazzoli,Pierre-Yves Massip,Carolina Vinci",1,60,72,Drame,France,"Manon Décor,Michele Salimbeni",Cinéma Saint-André des Arts,La Louve
"Kotone Furukawa,Ayumu Nakajima, Hyunri",7,121,55324,"Drame,Romance",Japon,Ryūsuke Hamaguchi,Diaphana Distribution,Contes du hasard et autres fantaisies
"Keri Russell,Jesse Plemons,Jeremy T. Thomas",10,99,75483,"Epouvante-horreur,Thriller",U.S.A.,Scott Cooper,The Walt Disney Company France,Affamés
"Elsa Lekakou,Foivos Papadopoulos,Stathis Apostolou",5,97,3585,Drame,Grèce,Christos Massalas,Le Pacte,Broadway
"Joana de Verona,Andre Guerreiro Lopes,Indira Nascimento",6,105,174,Drame,Brésil,Gregório Graziosi,Wayna Pitch,Tinnitus
"Lawrence Raghavendra,S.J. Suryah,Nimisha Sajayan",0,172,896,"Action,Comédie",Inde,Karthik Subbaraj,Friday Entertainment,Jigarthanda DoubleX
"Yile Yara Vianello,Feliciana Sibilano,Caterina Valente",4,91,1905,Drame,Italie,Danilo Caputo,Pyramide Distribution,Sème le vent
"Cédrick Spinassou,Alex Blanchard,Lotfi Zarouel",0,104,70,Comédie dramatique,France,Vincent Orst,Panoceanic Films,Tant pis pour le sud
"Alex Bachri,Juna Suleiman,Salim Daw",7,101,9743,Drame,Israël,Eran Kolirin,Pyramide Distribution,Et il y eut un matin
,5,52,15835,Animation,France,"Irene Iborra,Eduard Puertas,Célia Tocco",Cinéma Public Films,Grandir c’est chouette !
"Sofia Manousha,Grégoire Isvarine,Heloïse Roth",2,78,320,Comédie dramatique,France,Patricia Bardon,Cassia's productions,Nana et les filles du bord de mer
,1,43,8192,Animation,France,"Samantha Leriche-Gionet,Sophie Martin,Isabelle Favez",KMBO,Le Noël de petit lièvre brun
"Julio César Ticona,Max Bautista Uchasara,Francisca Arce de Aro",3,85,2836,Drame,France,Kiro Russo,Survivance,Le grand mouvement
"Jim Cummings (II),Virginia Newcomb,PJ McCabe",6,91,4057,Thriller,U.S.A.,"Jim Cummings (II),PJ McCabe",New Story,The Beta Test
"Ferenc Szabó,László Bajkó,Tamás Garbacz",6,103,1901,Drame,Hongrie,Dénes Nagy,Nour Films,Natural Light
"Emily Watson,Nick Frost,Jessica Brown Findlay",0,103,21493,"Animation,Famille,Fantastique",Allemagne,Holger Tappe,Metropolitan FilmExport,Monster Family : en route pour l'aventure !
"Mary Twala,Jerry Mofokeng,Makhaola Ndebele",6,120,1874,Drame,Lésotho,Lemohang Jeremiah Mosese,Arizona Distribution,L’ Indomptable feu du printemps
"Marianne Basler,Fabienne Babe,Jean-Philippe Puymartin",3,92,2317,Drame,France,Paul Vecchiali,Epicentre Films,Un soupçon d'amour
"Julien Courbey,Johan Libéreau,Fabien Ara",3,80,59,"Comédie,Epouvante-horreur",France,"Julien de Volte,Arnaud Tabarly",Origine Films,Super Z
"Ursula Strauss, Passi,Nsumbo Tango Samuel",6,125,3019,"Drame,Romance",Allemagne,Lisa Bierwirth,Shellac,Le Prince
"Marek Rozenbaum,Roni Kuban,Ina Rosenberg",5,102,793,Drame,Israël,Dani Rosenberg,Nour Films,La Mort du cinéma et de mon père aussi
"Pierre Santini,Bruno Putzulu,Marc Duret",0,100,66,Comédie,France,Frédéric Cerulli,Les Films à Fleur de Peau,Envol
"Josiane Balasko,Mathilde Seigner,Jérôme Commandeur",8,89,146389,Comédie,France,Eric Lavaine,Pathé,Un tour chez ma fille
"Jesmark Scicluna,Michela Farrugia,David Scicluna",6,94,50,Drame,Malte,Alex Camilleri,Epicentre Films,Luzzu
"Joana Bernardo,Hugo Bentes,Lola Dueñas",6,81,298,Drame,Portugal,Sérgio Tréfaut,Alfama Films,Elle s'appelle Barbara
"Tamara Rocca,Ana Brun,João Miguel",5,80,593,"Drame,Fantastique,Thriller",Brésil,Agustina San Martín,Jour2fête,To Kill the Beast
"Coline Chantrel,Karine Ventalon,Gigi Ledron",0,75,81,"Comédie dramatique,Fantastique",France,Sophie Attelann,Cinéma Saint-André des Arts,Hikikomori
"Maryna Klimova,Iryna Kiryazeva,Lyubov Vasylyna",5,93,584,Drame,Slovaquie,Péter Kerekes,Les Alchimistes,107 Mothers
"Maria de Medeiros,Marcello Urgeghe,João Luís Arrais",6,140,2014,"Drame,Historique",Portugal,Mario Barroso,Alfama Films,L'Ordre moral
" El Driss,Lydie Misiek,Jacky Berroyer",0,75,37,Drame,France, El Driss,48 entrées,Ubeur
"Jonas Vermeulen,Matteo Simoni,Charlotte Timmers",0,138,278,"Biopic,Drame",Belgique,Robin Pront,CGR EVENTS,Zillion
,3,47,4431,Animation,France,"Nina Bisyarina,Lenka Ivancíková,Svetlana Andrianova",Gebeka Films,En attendant la neige
"Billy Eichner,Luke MacFarlane, TS Madison",9,116,11110,"Comédie,Romance",U.S.A.,Nicholas Stoller,Universal Pictures International France,Bros
"Rosa Ramírez Ríos,Romana Satt,Gabriela Arancibia",5,71,395,"Drame,Romance",Chili,Nicol Ruiz Benavides,Outplay Films,Les Sentiers de l'oubli
"Saia Hiriart,Lukas Hiriart,Ainara Leemans",7,123,2163,"Drame,Fantastique",France,Eugène Green,UFO Distribution,Atarrabi et Mikelats
"Maria Bakalova,Ralitsa Stoyanova,Katia Kazakova",5,107,3705,Drame,Bulgarie,"Mina Mileva,Vesela Kazakova",Eurozoom,Women Do Cry
"René Collombat,Serge Papagalli,Louise Cor",0,98,17,Comédie,France,Jean-Loup Martin,Panoceanic Films,Le Pied nickelé
" Mohanlal,Jackie Shroff, Shivarajkumar",0,161,702,"Action,Comédie,Policier",Inde,Nelson Dilipkumar,Friday Entertainment,Jailer
"Yvan Attal,Pierre Arditi, Miou-Miou",8,87,111837,Drame,France,Bruno Chiche,Apollo Films / Orange Studio,Maestro(s)
"Louis Garrel,Damien Mongin,Esther Garrel",3,95,6111,Drame,France,Philippe Garrel,Ad Vitam,Le Grand chariot
,2,46,5286,"Animation,Famille",Grande-Bretagne,Tobias Fouracre,KMBO,Noël avec les frères Koalas
"Carlos Ureña,Sylvia Sossa,Esteban Brenes Serrano",6,92,1446,"Drame,Fantastique",Costa Rica,Ariel Escalante Meza,Epicentre Films,Domingo et la brume
"Garance Marillier,Bakary Keita,Sandor Funtek",4,97,3760,Drame,France,"Hamé Bourokba,Ekoué Labitey",The Jokers / Les Bookmakers,Rue des dames
"Samet Yıldız,Ekin Koç,Mahir İpek",7,85,926,Drame,Turquie,Ferit Karahan,Moonlight Films Distribution,Anatolia
"Ina Marija Bartaité,Laurynas Jurgelis,Fabienne Babe",5,85,556,Drame,France,Bojena Horackova,La Traverse,Walden
"Assma El Hadrami,Jalila Talemsi,Imane Elmechrafi",3,97,176,Drame,Maroc,Mohamed Nadif,Les Films des Deux Rives,Les Femmes du pavillon J
"Sundeep Kishan,Vijay Sethupathi,Gautham Vasudev Menon",0,153,885,"Action,Drame",Inde,Ranjit Jeyakodi,Friday Entertainment,Michael
,4,43,10895,"Aventure,Animation,Famille",France,"Marc Robinet,Caroline Attia",Gebeka Films,Opération Père Noël
"Anaís Grala Wegner,Patricia Soso,Ida Celina",3,90,47,Fantastique,Brésil,"Luciana Mazeto,Vinicius Lopes",Wayna Pitch,Despedida
"Penélope Cruz,Antonio Banderas,Oscar Martinez",5,114,61295,Comédie,Espagne,"Mariano Cohn,Gastón Duprat",Wild Bunch Distribution,Compétition officielle
"Álvaro Bayona,Vera Mercado,Patricia Tamayo",6,92,2575,Animation,Suisse,"Juan José Lozano,Zoltan Horvath",New Story,Jungle rouge
"Will Patton,Karyn Parsons,Lana Rockwell",8,91,2213,"Comédie,Drame",U.S.A.,Alexandre Rockwell,Urban Distribution,Sweet Thing
"Meltem Kaptan,Alexander Scheer,Charly Hübner",6,119,412,"Biopic,Drame",Allemagne,Andreas Dresen,Shellac,Rabiye Kurnaz contre George W. Bush
"Aurélien Osinski,Aurélien Osinski,Clovis Béziès-Gros",1,37,4969,"Animation,Famille",Norvège,"Natalia Malykhina,Marion Jamault,Michaël Journolleau",Les Films du Whippet,Wolfy ! Et les loups en délire
"Yerdos Kanaev,Gulmira Khasanova,Klara Kabylgazina",8,105,1350,Drame,kazakhstan,Darezhan Omirbayev,Alfama Films,Poet
"Edward Klein,Inès Thurre,Lou Cohen",3,31,214,Divers,Suisse,Virgil Vernier,Shellac,Sapphire Crystal
"Ana de la Reguera,Manuel Garcia-Rulfo,Isaac Hernández",4,95,1140,"Drame,Musical",Espagne,Carlos Saura,Eurozoom,Le Roi du monde
"Aris Servetalis,Sofia Georgovassili,Anna Kalaitzidou",5,90,414,"Comédie,Drame",Grèce,Christos Nikou,Bodega Films,Apples
,5,67,749,Drame,France,Vasken Toranian,JHR Films,Le Monde de Kaleb
"Paulina García,Alfredo Castro,Consuelo Carreño",4,95,99,Thriller,Chili,Jorge Riquelme Serrano,Tamasa Distribution,Algunas bestias
"Nini Phonesavanh Vilivong,Marc Barbé,Soulasath Saul",5,100,814,Drame,France,Kiyé-Simon Luang,Shellac,Goodbye Mister Wong
"Isabelle Carré,Théodore Pellerin,Ursina Lardi",1,89,17522,Drame,Suisse,Lionel Baier,Les Films du Losange,La Dérive des continents (au sud)
"Isabelle Huppert,Reda Kateb,Naidra Ayadi",7,98,130294,Drame,France,Thomas Kruithof,Wild Bunch Distribution,Les Promesses
"Jonathan Feltre,Angelina Woreth,Missoum Slimani",14,105,22510,Drame,France,Jimmy Laporal-Tresor,The Jokers / Les Bookmakers,Les Rascals
"Crista Alfaiate,Carloto Cotta,João Nunes Monteiro",6,98,2687,"Comédie,Drame",Portugal,"Miguel Gomes,Maureen Fazendeiro",Shellac,Journal de Tûoa
"Tayoko Shiojiri,Hiroharu Shikata,Ryô Kase",9,213,840,Drame,U.S.A.,"Anders Edström,C.W. Winter",Capricci Films,Les Travaux et les Jours - Partie 1
"Pio Marmaï,Philippe Rebbot,Camille Chamoux",5,96,49948,Comédie,France,Edouard Deluc,Apollo Films,Petaouchnok
"Abdulah Sissoko,Hady Berthe,Issaka Sawadogo",8,98,86176,Drame,France,Kim Chapiron,Le Pacte,Le Jeune imam
"Swann Arlaud,Sarah Adler,Grégoire Oestermann",7,85,5849,Drame,France,Philippe Petit,Pyramide Distribution,Tant que le soleil frappe
"Isabelle Huppert,Hippolyte Girardot,Liliane Rovère",4,106,130560,"Comédie,Policier,Drame",France,Jean-Paul Salomé,Le Pacte,La Daronne
"Ghaïs Ourabah-Bertout,Clémentine Billy,Marie Clément",7,77,859,Drame,France,Nathan Nicholovitch,Nour Films,Les Graines que l'on sème
,0,53,376,"Animation,Famille",Grande-Bretagne,"Max Lang,Jan Lachauer,Jeroen Jaspaert",Les Films du Préau,C'est Magic ! - À la baguette !
" JoeyStarr, AZ,Alban Ivanov",3,85,35199,Comédie,France," AZ,Laurent Junca",ARP Sélection,Les Gagnants
,0,57,6150,"Animation,Famille",France,,Gebeka Films,A vol d'oiseaux
" Najaa,Agnès Jaoui,Pio Marmaï",9,110,54164,"Comédie,Drame",France,François Favrat,Wild Bunch Distribution,Compagnons
"Camilo Castiglione,Laila Maltz,Mariel Fernandez",1,79,88,Comédie dramatique,Argentine,Vladimir Durán,Bodega Films,Adiós entusiasmo
"Ia Sukhitashvili,Kakha Kintsurashvili,Rati Oneli",6,125,180,Drame,Géorgie,Dea Kulumbegashvili,Why Not Productions,Au commencement
"Caleb Landry Jones,Essie Davis,Judy Davis",6,110,10078,"Drame,Thriller",Australie,Justin Kurzel,Ad Vitam,Nitram
"Jin Jing,Zhou Chen,Ye Hongming",4,101,1045,Drame,Chine,Zheng Lu Xinyuan,Norte Distribution,The Cloud in Her Room
"Lara Tortosa,Santos Curapil,Sabine Timoteo",6,105,813,Drame,Suisse,Marí Alessandrini,Norte Distribution,Zahorí
" Vikram,Ritu Varma,Radhika Sarathkumar",0,145,6,"Action,Thriller",Inde,Gautham Vasudev Menon,Friday Entertainment,Dhruva Natchathiram Chapter 1: Yuddha Kaandam
"Sonia Couoh,Noé Hernandez,Myriam Bravo",4,91,69,Drame,Mexique,Ángeles Cruz,Bobine Films,Nudo mixteco : trois destins de femmes
"Park Jung-soo,Krystal Jung,Jung-se Oh",7,133,13756,"Comédie,Drame,Historique",Corée du Sud,Kim Jee-Woon,The Jokers / Les Bookmakers,Ça tourne à Séoul ! Cobweb
"Sara Giraudeau,Benjamin Lavernhe,Judith Chemla",9,92,40807,Drame,France,Léopold Legrand,Pyramide Distribution,Le Sixième enfant
"Philippe Bozo,Laurent Morteau,Pascal Casanova",5,89,262703,"Aventure,Animation,Comédie",France,"Laurent Bru,Yannick Moulin,Benoit Somville",SND,Les As de la jungle 2 - Opération tour du monde
"Karim Leklou,Ahmed Benaissa,Elsa Wolliaston",7,98,27639,Drame,France,Clément Cogitore,Diaphana Distribution,Goutte d'or
"Franck Dubosc,Louna Espinosa,Jean-Pierre Darroussin",7,103,151081,Comédie,France,Franck Dubosc,Gaumont Distribution,Rumba la vie
"Aïcha Tebbae,Abdellah El Hajjouji,Antoine Reinartz",6,111,4569,Drame,France,Fyzal Boulifa,New Story,Les Damnés ne pleurent pas
"Erica Rivas,Ornella D'Elia,Marilu Marini",4,107,420,Drame,Argentine,Paula Hernández,Bodega Films,Los Sonámbulos
"François Frappier,Marieva Jaime Cortez,Susana Lastreto",0,76,100,Drame,Uruguay,Susana Lastreto,Cinéma Saint-André des Arts,"Euridice, là-bas..."
"Rosa Palasciano,Valerio Di Benedetto,Fabrizio Ciavoni",0,109,86,Drame,Italie,Ciro De Caro,Moviemento Films,Giulia
"Seidi Haarla,Yuriy Borisov,Dinara Drukarova",6,102,42636,"Comédie,Drame",Finlande,Juho Kuosmanen,Haut et Court,Compartiment N°6
"Vincent Dubois,Jean-Christian Fraiscinet,Bella Boonsang",8,98,580181,"Aventure,Comédie",France,Frédéric Forestier,SND,Les Bodin's en Thaïlande
