acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre
"Kev Adams,Gérard Jugnot,Claire Chust",8,93,101739,Comédie,France,Christophe Barratier,Apollo Films / Orange Studio,Comme par magie
"John David Washington,Gemma Chan,Ken Watanabe",13,133,262507,"Aventure,Drame,Science Fiction",U.S.A.,Gareth Edwards (V),The Walt Disney Company France,The Creator
"David Harbour,John Leguizamo,Alex Hassell",13,112,88083,"Action,Thriller",U.S.A.,Tommy Wirkola,Universal Pictures International France,Violent Night
"Pierre Niney,Stacy Martin,Benoît Magimel",8,100,136003,"Drame,Thriller",France,Nicole Garcia,Wild Bunch Distribution,Amants
"Xolo Maridueña,Bruna Marquezine,Susan Sarandon",13,128,239733,"Action,Aventure,Science Fiction",U.S.A.,Angel Manuel Soto,Warner Bros. France,Blue Beetle
"Benjamin Lavernhe,Emmanuelle Bercot,Michel Vuillermoz",10,138,350564,"Biopic,Drame",France,Frédéric Tellier,SND,L'Abbé Pierre - Une vie de combats
"Alma Pöysti,Jussi Vatanen,Janne Hyytiäinen",3,81,111219,"Comédie,Drame,Romance",Finlande,Aki Kaurismäki,Diaphana Distribution,Les Feuilles mortes
"Brad Pitt,Margot Robbie,Diego Calva",20,189,508796,"Drame,Historique",U.S.A.,Damien Chazelle,Paramount Pictures France,Babylon
"Hugh Jackman,Rebecca Ferguson,Thandiwe Newton",10,116,99007,"Romance,Science Fiction,Thriller",U.S.A.,Lisa Joy,Warner Bros. France,Reminiscence
"Ryûnosuke Kamiki,Minami Hamabe,Yûki Yamada",1,124,263,"Action,Aventure,Science Fiction",Japon,Takashi Yamazaki,Piece of Magic Entertainment France,Godzilla Minus One
"Jeff Goldblum,Roberta Wallach,Tony Ramos",5,103,15564,"Animation,Musical",Espagne,"Fernando Trueba,Javier Mariscal",Dulac Distribution,They Shot The Piano Player
"Willem Dafoe,Gene Bervoets,Eliza Stuyck",7,105,2654,"Drame,Thriller",Grèce,Vasilis Katsoupis,L'Atelier Distribution,À l'intérieur
"Zhou Meijun,Ziqi Huang,Jing Liang",1,92,726,Drame,Chine,Zihan Geng,Bodega Films,Blue Summer (A Song Sung Blue)
"Kristine Kujath Thorp,Eirik Sæther,Fanny Vaager",5,97,14638,Comédie dramatique,Norvège,Kristoffer Borgli,Tandem,Sick Of Myself
"Théo Christine,Sofia Lesaffre,Jérôme Niel",7,106,69531,Epouvante-horreur,France,Sébastien Vaniček,Tandem,Vermines
"Ichem Bougheraba,Walid Ben Amar,Arriles Amrani",6,99,228318,Comédie,France,"Ali Boughéraba,Hakim Boughéraba",Apollo Films,Les SEGPA
"Hae-hyo Kwon,Hye-Young Lee,Song Seon-mi",4,97,4421,Drame,Corée du Sud,Hong Sang-Soo,Capricci Films,Walk Up
"Daphne Patakia,Benoît Poelvoorde,Agnès Jaoui",7,91,36931,Comédie,France,Marie Garel-Weiss,Pyramide Distribution,Sur la branche
"Emmanuelle Devos,Raphaël Thiéry,Mireille Pitot",6,94,15574,"Drame,Romance",France,Anais Tellenne,New Story,L’Homme d’argile
"Deniz Celiloğlu,Merve Dizdar,Musab Ekici",5,198,32179,Drame,Turquie,Nuri Bilge Ceylan,Memento Distribution,Les Herbes sèches
"Ghita Norby,Bodil Jorgensen,Rasmus Botoft",0,75,10886,"Animation,Famille",Danemark,Karla Nor Holmbäck,Gebeka Films,"Rose, petite fée des fleurs"
"Taketo Tanaka, Koyuki,Lily Franky",0,113,236,Drame,Japon,Jumpei Matsumoto,Wayna Pitch,Satoshi
"Elina Löwensohn,Christa Théret,Julia Riedler",7,105,8594,"Action,Drame,Fantastique",France,Bertrand Mandico,UFO Distribution,Conann
"Caleb Landry Jones,Jojo T. Gibbs,Christopher Denham",6,114,139989,"Action,Drame,Thriller",France,Luc Besson,EuropaCorp Distribution / Apollo Films,Dogman
"Denzel Washington,Dakota Fanning,David Denman",6,110,378764,"Action,Thriller",U.S.A.,Antoine Fuqua,Sony Pictures Releasing France,Equalizer 3
"Gavril Dartevelle,Soma Santoki,Padrig Vion",4,123,702835,"Aventure,Animation,Drame",Japon,Hayao Miyazaki,Wild Bunch Distribution,Le Garçon et le Héron
"Virginie Efira,Félix Lefebvre,Arieh Worthalter",9,112,84320,Drame,France,Delphine Deloget,Ad Vitam,Rien à Perdre
"Ariane Ascaride,Jean-Pierre Darroussin,Lola Naymark",9,106,78090,Comédie dramatique,France,Robert Guédiguian,Diaphana Distribution,Et la fête continue !
"Clovis Cornillac,Eye Haïdara,Laurence Côte",10,102,70827,Comédie dramatique,France,"Karine Blanc,Michel Tavares",UGC Distribution,"Monsieur, le Maire"
"Stéphane Caillard,Alison Wheeler,Alexis Michalik",11,125,149707,"Biopic,Drame",France,Géraldine Danon,Metropolitan FilmExport,Flo
"Irène Jacob,Yaël Abecassis,Hana Laszlo",6,85,1030,Drame,Israël,Amos Gitaï,Epicentre Films,Shikun
"Gabriel LaBelle,Michelle Williams,Paul Dano",14,151,367332,"Biopic,Drame",U.S.A.,Steven Spielberg,Universal Pictures International France,The Fabelmans
"Sakura Andô,Eita Nagayama,Soya Kurokawa",8,127,63240,"Drame,Thriller",Japon,Hirokazu Kore-eda,Le Pacte,L'Innocence
