acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Jeff Goldblum,
                            Bryce Dallas Howard,
                            Chris Pratt,
                            Sam Neill,
                            Omar Sy",165 000 000 $,,  08/06/2022,1 299 065,Franchise,Aventure - Action,Etats-Unis,Frank Marshall,"
                                    Colin Trevorrow",,,"
                Universal","
                            Jurassic World: Le Monde d'après",https://www.jpbox-office.com/fichfilm.php?id=20222&view=2
,200 000 000 $,,  14/07/2021,1 301 589,Franchise,Aventure - Action,Etats-Unis,,"
                                    Justin Lin",,,"
                Universal","
                            Fast & Furious 9",https://www.jpbox-office.com/fichfilm.php?id=18988&view=2
,175 000 000 $,,  29/07/2009,1 301 980,,Animation,Etats-Unis,,,,,"
                Walt Disney Pictures","
                            Là-haut",https://www.jpbox-office.com/fichfilm.php?id=10347&view=2
,45 000 000 $,,  23/11/1994,1 312 942,,Animation,Etats-Unis,,"
                                    Rob Minkoff",,,"
                GBVI","
                            Le Roi lion",https://www.jpbox-office.com/fichfilm.php?id=4246&view=2
,195 000 000 $,,  29/06/2011,1 315 020,Franchise,Science Fiction,Etats-Unis,,"
                                    Michael Bay",,,"
                Paramount","
                            Transformers 3 - La Face cachée de la Lune",https://www.jpbox-office.com/fichfilm.php?id=10737&view=2
"
                            Rowan Atkinson,
                            Matthew Broderick,
                            Whoopi Goldberg,
                            Jeremy Irons,
                            Jean Reno",45 000 000 $,Hans Zimmer,  23/11/1994,1 312 942,,Animation,Etats-Unis,,"
                                    Rob Minkoff",,,"
                GBVI","
                            Le Roi lion",https://www.jpbox-office.com/fichfilm.php?id=4246&view=2
,48 000 000 $,,  18/10/1989,1 314 450,Franchise,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,,"
                UIP","
                            Indiana Jones et la Dernière Croisade",https://www.jpbox-office.com/fichfilm.php?id=5498&view=2
"
                            Shia LaBeouf,
                            Patrick Dempsey,
                            John Malkovich,
                            Frances McDormand",195 000 000 $,,  29/06/2011,1 315 020,Franchise,Science Fiction,Etats-Unis,Steven Spielberg,"
                                    Michael Bay",,,"
                Paramount","
                            Transformers 3 - La Face cachée de la Lune",https://www.jpbox-office.com/fichfilm.php?id=10737&view=2
"
                            Sean Connery,
                            Harrison Ford",48 000 000 $,John Williams,  18/10/1989,1 314 450,Franchise,Aventure - Action,Etats-Unis,George Lucas,"
                                    Steven Spielberg",,,"
                UIP","
                            Indiana Jones et la Dernière Croisade",https://www.jpbox-office.com/fichfilm.php?id=5498&view=2
,93 000 000 $,,  10/08/2011,1 321 648,Franchise,Science Fiction,Etats-Unis,,,,,"
                20th Century Fox","
                            La Planète des singes: les origines",https://www.jpbox-office.com/fichfilm.php?id=11380&view=2
,250 000 000 $,,  03/05/2023,1 323 124,Franchise,Comicbook,Etats-Unis,,"
                                    James Gunn",,,"
                Walt Disney Pictures","
                            Les Gardiens de la Galaxie 3",https://www.jpbox-office.com/fichfilm.php?id=22223&view=2
"
                            James Franco",93 000 000 $,,  10/08/2011,1 321 648,Franchise,Science Fiction,Etats-Unis,,,,,"
                20th Century Fox","
                            La Planète des singes: les origines",https://www.jpbox-office.com/fichfilm.php?id=11380&view=2
