acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,? $,,  18/10/2023,23 002,,Documentaire,Allemagne,,"
                                    Win Wenders",,,"
                Films du Losange","
                            Anselm (Le Bruit du temps)",https://www.jpbox-office.com/fichfilm.php?id=23213&view=2
"
                            Mathieu Amalric",,,  20/02/2002,23 080,,Comédie dramatique,France,,,,,"
                Films du Losange","
                            Lundi matin",https://www.jpbox-office.com/fichfilm.php?id=18425&view=2
"
                            Mathieu Amalric",? €,,  20/02/2002,23 080,,Comédie dramatique,France,,,,,"
                Films du Losange","
                            Lundi matin",https://www.jpbox-office.com/fichfilm.php?id=18425&view=2
,60 000 000 $,,  23/12/2009,23 104,,Drame,Etats-Unis,,,,,"
                Studiocanal","
                            Le Soliste",https://www.jpbox-office.com/fichfilm.php?id=10413&view=2
"
                            Robert Downey Jr,
                            Jamie Foxx",60 000 000 $,,  23/12/2009,23 104,,Drame,Etats-Unis,,,,,"
                Studiocanal","
                            Le Soliste",https://www.jpbox-office.com/fichfilm.php?id=10413&view=2
,18 000 000 $,,  11/03/1998,22 651,,Drame,Etats-Unis,,"
                                    Ang Lee",,,"
                MK2 Diffusion","
                            Ice Storm",https://www.jpbox-office.com/fichfilm.php?id=3525&view=2
"
                            Kevin Kline,
                            Sigourney Weaver,
                            Tobey Maguire,
                            Christina Ricci,
                            Elijah Wood",18 000 000 $,,  11/03/1998,22 651,,Drame,Etats-Unis,,"
                                    Ang Lee",,,"
                MK2 Diffusion","
                            Ice Storm",https://www.jpbox-office.com/fichfilm.php?id=3525&view=2
,? $,,  27/02/2019,22 647,,Documentaire,Italie,,"
                                    Nanni Moretti",,,"
                Le Pacte","
                            Santiago, Italia",https://www.jpbox-office.com/fichfilm.php?id=18837&view=2
,? $,,  27/02/2019,22 647,,Documentaire,Italie,,"
                                    Nanni Moretti",,,"
                Le Pacte","
                            Santiago, Italia",https://www.jpbox-office.com/fichfilm.php?id=18837&view=2
,? $,,  15/09/2010,22 348,,Drame,Palestine,,"
                                    Julian Schnabel",,,"
                Pathé","
                            Miral",https://www.jpbox-office.com/fichfilm.php?id=11654&view=2
,? $,,  02/08/1995,21 978,Franchise,Horreur,Etats-Unis,,"
                                    Bill Condon",,,"
                -","
                            Candyman 2",https://www.jpbox-office.com/fichfilm.php?id=4133&view=2
,? €,,  28/10/2009,21 978,,Animation,France,,,,,"
                Gébéka","
                            Panique au village",https://www.jpbox-office.com/fichfilm.php?id=10943&view=2
,? $,,  02/08/1995,21 978,Franchise,Horreur,Etats-Unis,,"
                                    Bill Condon",,,"
                -","
                            Candyman 2",https://www.jpbox-office.com/fichfilm.php?id=4133&view=2
"
                            Benoît Poelvoorde",? €,,  28/10/2009,21 978,,Animation,France,,,,,"
                Gébéka","
                            Panique au village",https://www.jpbox-office.com/fichfilm.php?id=10943&view=2
,? $,,  15/09/2010,22 348,,Drame,Palestine,,"
                                    Julian Schnabel",,,"
                Pathé","
                            Miral",https://www.jpbox-office.com/fichfilm.php?id=11654&view=2
,,,  05/09/2007,21 842,,Romance,France,,"
                                    Eric Rohmer",,,"
                Rezo Films","
                            Les Amours d'Astrée et de Celadon",https://www.jpbox-office.com/fichfilm.php?id=9724&view=2
,56 666 ,,  05/09/2007,21 842,,Romance,France,,"
                                    Eric Rohmer",,,"
                Rezo Films","
                            Les Amours d'Astrée et de Celadon",https://www.jpbox-office.com/fichfilm.php?id=9724&view=2
,? $,,  10/12/2014,21 894,,Drame,Etats-Unis,,"
                                    Jason Reitman",,,"
                Paramount","
                            Men, Women & Children",https://www.jpbox-office.com/fichfilm.php?id=14519&view=2
"
                            Jennifer Garner,
                            Adam Sandler,
                            Timothée Chalamet",? $,,  10/12/2014,21 894,,Drame,Etats-Unis,,"
                                    Jason Reitman",,,"
                Paramount","
                            Men, Women & Children",https://www.jpbox-office.com/fichfilm.php?id=14519&view=2
"
                            Colin Firth",,,  04/10/2023,21 941,,Drame,Grande-Bretagne,,,,,"
                Condor Distribution","
                            Entre les lignes",https://www.jpbox-office.com/fichfilm.php?id=21604&view=2
,3 200 000 €,,  02/11/2005,21 925,,Drame,France,,,,,"
                Rezo Films","
                            J'ai vu tuer Ben Barka",https://www.jpbox-office.com/fichfilm.php?id=931&view=2
"
                            Colin Firth",? $,,  04/10/2023,21 941,,Drame,Grande-Bretagne,,,,,"
                Condor Distribution","
                            Entre les lignes",https://www.jpbox-office.com/fichfilm.php?id=21604&view=2
"
                            Charles Berling,
                            Mathieu Amalric,
                            Josiane Balasko",3 200 000 €,,  02/11/2005,21 925,,Drame,France,,,,,"
                Rezo Films","
                            J'ai vu tuer Ben Barka",https://www.jpbox-office.com/fichfilm.php?id=931&view=2
,,,  07/07/2010,21 794,,Thriller,France,,"
                                    Olivier Assayas",,,"
                MK2 Diffusion","
                            Carlos",https://www.jpbox-office.com/fichfilm.php?id=11429&view=2
,18 000 000 €,,  07/07/2010,21 794,,Thriller,France,,"
                                    Olivier Assayas",,,"
                MK2 Diffusion","
                            Carlos",https://www.jpbox-office.com/fichfilm.php?id=11429&view=2
,15 000 000 $,,  02/01/2013,21 552,,Aventure - Action,Etats-Unis,,,,,"
                Universal","
                            L'Homme aux poings de fer",https://www.jpbox-office.com/fichfilm.php?id=13013&view=2
"
                            Russell Crowe",15 000 000 $,,  02/01/2013,21 552,,Aventure - Action,Etats-Unis,,,,,"
                Universal","
                            L'Homme aux poings de fer",https://www.jpbox-office.com/fichfilm.php?id=13013&view=2
,7 000 000 $,,  03/03/2010,21 450,,Drame,Etats-Unis,,,,,"
                20th Century Fox","
                            Crazy Heart",https://www.jpbox-office.com/fichfilm.php?id=11074&view=2
"
                            Jeff Bridges,
                            Maggie Gyllenhaal,
                            Colin Farrell,
                            Robert Duvall",7 000 000 $,,  03/03/2010,21 450,,Drame,Etats-Unis,,,,,"
                20th Century Fox","
                            Crazy Heart",https://www.jpbox-office.com/fichfilm.php?id=11074&view=2
"
                            Will Ferrell,
                            John C. Reilly,
                            Seth Rogen",,,  19/11/2008,21 139,,Comédie,Etats-Unis,Judd Apatow,,,,"
                Sony Pictures","
                            Frangins malgré eux",https://www.jpbox-office.com/fichfilm.php?id=10001&view=2
"
                            Will Ferrell,
                            John C. Reilly,
                            Seth Rogen",65 000 000 $,,  19/11/2008,21 139,,Comédie,Etats-Unis,Judd Apatow,,,,"
                Sony Pictures","
                            Frangins malgré eux",https://www.jpbox-office.com/fichfilm.php?id=10001&view=2
,13 300 000 $,,  02/07/2003,21 171,,Romance,Danemark,,,,,"
                -","
                            It's All About Love",https://www.jpbox-office.com/fichfilm.php?id=1637&view=2
"
                            Joaquin Phoenix,
                            Sean Penn",13 300 000 $,,  02/07/2003,21 171,,Romance,Danemark,,,,,"
                -","
                            It's All About Love",https://www.jpbox-office.com/fichfilm.php?id=1637&view=2
,? $,,  13/09/2017,21 193,,Comédie dramatique,Grande-Bretagne,,,,,"
                Eurozoom","
                            The Party (2017)",https://www.jpbox-office.com/fichfilm.php?id=17286&view=2
,,,  22/05/2006,20 792,,Drame,Italie,,"
                                    Nanni Moretti",,,"
                Bac Films","
                            Le Caïman",https://www.jpbox-office.com/fichfilm.php?id=469&view=2
,7 670 000 $,,  22/05/2006,20 792,,Drame,Italie,,"
                                    Nanni Moretti",,,"
                Bac Films","
                            Le Caïman",https://www.jpbox-office.com/fichfilm.php?id=469&view=2
"
                            Amy Adams,
                            Frances McDormand",,,  25/02/2009,20 474,,Comédie,Etats-Unis,,,,,"
                EuropaCorp","
                            Miss Pettigrew",https://www.jpbox-office.com/fichfilm.php?id=10125&view=2
"
                            Amy Adams,
                            Frances McDormand",? $,,  25/02/2009,20 474,,Comédie,Etats-Unis,,,,,"
                EuropaCorp","
                            Miss Pettigrew",https://www.jpbox-office.com/fichfilm.php?id=10125&view=2
,? $,,  02/05/2012,20 531,,Drame,Mexique,,,Remake,,"
                Ad vitam","
                            Miss Bala",https://www.jpbox-office.com/fichfilm.php?id=12819&view=2
"
                            Léa Drucker",,,  27/03/2019,20 563,,Drame,France,,,,,"
                SBS Distribution","
                            Synonymes",https://www.jpbox-office.com/fichfilm.php?id=19115&view=2
"
                            Léa Drucker",2 920 000 €,,  27/03/2019,20 563,,Drame,France,,,,,"
                SBS Distribution","
                            Synonymes",https://www.jpbox-office.com/fichfilm.php?id=19115&view=2
,? $,,  08/06/2005,20 300,,Comédie,Etats-Unis,,,,,"
                Metropolitan","
                            A dirty shame",https://www.jpbox-office.com/fichfilm.php?id=14638&view=2
"
                            Johnny Knoxville",? $,,  08/06/2005,20 300,,Comédie,Etats-Unis,,,,,"
                Metropolitan","
                            A dirty shame",https://www.jpbox-office.com/fichfilm.php?id=14638&view=2
"
                            Jérémy Renier",,,  20/02/2013,20 308,,Drame,Espagne,,,,,"
                Ad vitam","
                            Elefante Blanco",https://www.jpbox-office.com/fichfilm.php?id=13116&view=2
"
                            Jérémy Renier",3 200 661 $,,  20/02/2013,20 308,,Drame,Espagne,,,,,"
                Ad vitam","
                            Elefante Blanco",https://www.jpbox-office.com/fichfilm.php?id=13116&view=2
,2 000 000 €,,  27/07/2011,20 256,,Drame,France,,,,,"
                Sophie Dulac","
                            Lourdes",https://www.jpbox-office.com/fichfilm.php?id=12228&view=2
"
                            Léa Seydoux,
                            Sylvie Testud",2 000 000 €,,  27/07/2011,20 256,,Drame,France,,,,,"
                Sophie Dulac","
                            Lourdes",https://www.jpbox-office.com/fichfilm.php?id=12228&view=2
,? $,,  27/04/2016,20 069,,Drame,Etats-Unis,,"
                                    Gus Van Sant",,,"
                SND","
                            Nos souvenirs",https://www.jpbox-office.com/fichfilm.php?id=15795&view=2
"
                            Matthew McConaughey,
                            Naomi Watts",? $,,  27/04/2016,20 069,,Drame,Etats-Unis,,"
                                    Gus Van Sant",,,"
                SND","
                            Nos souvenirs",https://www.jpbox-office.com/fichfilm.php?id=15795&view=2
,30 000 000 $,,  01/01/2014,20 083,,Thriller,Etats-Unis,,"
                                    Spike Lee",Remake,,"
                Universal","
                            Old Boy (2013)",https://www.jpbox-office.com/fichfilm.php?id=13098&view=2
"
                            Tahar Rahim,
                            Karim Leklou",,,  04/07/2018,20 073,,Thriller,France,,,,,"
                Bac Films","
                            Joueurs",https://www.jpbox-office.com/fichfilm.php?id=18222&view=2
"
                            Tahar Rahim,
                            Karim Leklou",? €,,  04/07/2018,20 073,,Thriller,France,,,,,"
                Bac Films","
                            Joueurs",https://www.jpbox-office.com/fichfilm.php?id=18222&view=2
"
                            Josh Brolin,
                            Samuel L. Jackson",30 000 000 $,,  01/01/2014,20 083,,Thriller,Etats-Unis,,"
                                    Spike Lee",Remake,,"
                Universal","
                            Old Boy (2013)",https://www.jpbox-office.com/fichfilm.php?id=13098&view=2
"
                            Anthony Hopkins",,,  16/01/2002,19 642,,Comédie dramatique,Etats-Unis,,,,,"
                Warner Bros.","
                            Cœurs perdus en Attantide",https://www.jpbox-office.com/fichfilm.php?id=2303&view=2
"
                            Anthony Hopkins",31 000 000 $,,  16/01/2002,19 642,,Comédie dramatique,Etats-Unis,,,,,"
                Warner Bros.","
                            Cœurs perdus en Attantide",https://www.jpbox-office.com/fichfilm.php?id=2303&view=2
"
                            Christian Slater,
                            Robin Williams",,Alan Silvestri,  13/01/1993,19 200,,Animation,Etats-Unis,,,,,"
                20th Century Fox","
                            Les Aventures de Zak et Crysta dans la forêt de FernGully",https://www.jpbox-office.com/fichfilm.php?id=4877&view=2
"
                            Christian Slater,
                            Robin Williams",? $,Alan Silvestri,  13/01/1993,19 200,,Animation,Etats-Unis,,,,,"
                20th Century Fox","
                            Les Aventures de Zak et Crysta dans la forêt de FernGully",https://www.jpbox-office.com/fichfilm.php?id=4877&view=2
,51 128 ,,  12/01/2005,19 217,,Drame,Israël,,,,,"
                Ad vitam","
                            Terre promise",https://www.jpbox-office.com/fichfilm.php?id=19450&view=2
"
                            Rosamund Pike",51 128 ,,  12/01/2005,19 217,,Drame,Israël,,,,,"
                Ad vitam","
                            Terre promise",https://www.jpbox-office.com/fichfilm.php?id=19450&view=2
,6 000 000 $,,  23/04/2003,19 231,,Drame,Australie,,"
                                    Philip Noyce",,,"
                -","
                            Le Chemin de la liberté",https://www.jpbox-office.com/fichfilm.php?id=1963&view=2
"
                            Kenneth Branagh",6 000 000 $,,  23/04/2003,19 231,,Drame,Australie,,"
                                    Philip Noyce",,,"
                -","
                            Le Chemin de la liberté",https://www.jpbox-office.com/fichfilm.php?id=1963&view=2
,9 000 000 $,,  27/09/2017,18 785,,Drame,Etats-Unis,,,,,"
                Metropolitan","
                            Le Château de verre (2017)",https://www.jpbox-office.com/fichfilm.php?id=17253&view=2
"
                            Woody Harrelson,
                            Naomi Watts",9 000 000 $,,  27/09/2017,18 785,,Drame,Etats-Unis,,,,,"
                Metropolitan","
                            Le Château de verre (2017)",https://www.jpbox-office.com/fichfilm.php?id=17253&view=2
"
                            Michael Douglas",,,  12/09/2007,18 825,,Comédie dramatique,Etats-Unis,,,,,"
                Metropolitan","
                            King of California",https://www.jpbox-office.com/fichfilm.php?id=9702&view=2
"
                            Michael Douglas",? $,,  12/09/2007,18 825,,Comédie dramatique,Etats-Unis,,,,,"
                Metropolitan","
                            King of California",https://www.jpbox-office.com/fichfilm.php?id=9702&view=2
"
                            Antonio Banderas,
                            Meg Ryan",,,  05/11/2008,18 363,,Comédie,Etats-Unis,,,,,"
                Colifilms","
                            Mon espion préféré",https://www.jpbox-office.com/fichfilm.php?id=10218&view=2
"
                            Antonio Banderas,
                            Meg Ryan",25 000 000 $,,  05/11/2008,18 363,,Comédie,Etats-Unis,,,,,"
                Colifilms","
                            Mon espion préféré",https://www.jpbox-office.com/fichfilm.php?id=10218&view=2
"
                            Jennifer Connelly,
                            Dakota Fanning,
                            Ewan McGregor",,Alexandre Desplat,  28/12/2016,18 114,,Drame,Etats-Unis,,,,,"
                Mars Distribution","
                            American Pastoral",https://www.jpbox-office.com/fichfilm.php?id=16285&view=2
"
                            Daniel Radcliffe,
                            Adam Driver",,,  29/10/2014,18 123,,Romance,Irlande,,,,,"
                SND","
                            Et (beaucoup) plus si affinités",https://www.jpbox-office.com/fichfilm.php?id=14442&view=2
"
                            Jennifer Connelly,
                            Dakota Fanning,
                            Ewan McGregor",? $,Alexandre Desplat,  28/12/2016,18 114,,Drame,Etats-Unis,,,,,"
                Mars Distribution","
                            American Pastoral",https://www.jpbox-office.com/fichfilm.php?id=16285&view=2
"
                            Daniel Radcliffe,
                            Adam Driver",? $,,  29/10/2014,18 123,,Romance,Irlande,,,,,"
                SND","
                            Et (beaucoup) plus si affinités",https://www.jpbox-office.com/fichfilm.php?id=14442&view=2
"
                            Gérard Depardieu",,,  09/04/2003,18 146,,Drame,Norvège,,,,,"
                SND","
                            Dina",https://www.jpbox-office.com/fichfilm.php?id=1653&view=2
"
                            Gérard Depardieu",? $,,  09/04/2003,18 146,,Drame,Norvège,,,,,"
                SND","
                            Dina",https://www.jpbox-office.com/fichfilm.php?id=1653&view=2
"
                            Camille Cottin",,,  30/03/2022,18 155,,Animation,Luxembourg,,,,,"
                Bac Films","
                            Icare",https://www.jpbox-office.com/fichfilm.php?id=21947&view=2
"
                            Camille Cottin",? €,,  30/03/2022,18 155,,Animation,Luxembourg,,,,,"
                Bac Films","
                            Icare",https://www.jpbox-office.com/fichfilm.php?id=21947&view=2
"
                            Tim Allen,
                            Jamie Lee Curtis,
                            Dan Aykroyd",,,  15/12/2004,18 148,,Comédie,Etats-Unis,,,,,"
                Gaumont Sony","
                            Un Noël de folie!",https://www.jpbox-office.com/fichfilm.php?id=1295&view=2
"
                            Tim Allen,
                            Jamie Lee Curtis,
                            Dan Aykroyd",60 000 000 $,,  15/12/2004,18 148,,Comédie,Etats-Unis,,,,,"
                Gaumont Sony","
                            Un Noël de folie!",https://www.jpbox-office.com/fichfilm.php?id=1295&view=2
,? $,,  01/03/2017,17 770,,Thriller,Etats-Unis,,,,,"
                The Jokers / Les Bookmakers","
                            A ceux qui nous ont offensés",https://www.jpbox-office.com/fichfilm.php?id=16662&view=2
"
                            Michael Fassbender,
                            Brendan Gleeson",? $,,  01/03/2017,17 770,,Thriller,Etats-Unis,,,,,"
                The Jokers / Les Bookmakers","
                            A ceux qui nous ont offensés",https://www.jpbox-office.com/fichfilm.php?id=16662&view=2
,27 000 000 $,,  09/10/2002,17 530,,Romance,Etats-Unis,,,,,"
                Warner Bros.","
                            Les Divins secrets",https://www.jpbox-office.com/fichfilm.php?id=1980&view=2
"
                            Sandra Bullock,
                            Ashley Judd",27 000 000 $,,  09/10/2002,17 530,,Romance,Etats-Unis,,,,,"
                Warner Bros.","
                            Les Divins secrets",https://www.jpbox-office.com/fichfilm.php?id=1980&view=2
"
                            Ralph Fiennes,
                            Matthias Schoenaerts",,,  06/04/2016,17 560,,Comédie dramatique,Italie,,,Remake,,"
                Studiocanal","
                            A Bigger Splash",https://www.jpbox-office.com/fichfilm.php?id=15775&view=2
"
                            Ralph Fiennes,
                            Matthias Schoenaerts",? $,,  06/04/2016,17 560,,Comédie dramatique,Italie,,,Remake,,"
                Studiocanal","
                            A Bigger Splash",https://www.jpbox-office.com/fichfilm.php?id=15775&view=2
,12 500 000 $,,  16/04/2003,17 283,,Drame,Etats-Unis,,,,,"
                UFD","
                            Antwone Fisher",https://www.jpbox-office.com/fichfilm.php?id=1975&view=2
"
                            Denzel Washington,
                            Viola Davis",12 500 000 $,,  16/04/2003,17 283,,Drame,Etats-Unis,,,,,"
                UFD","
                            Antwone Fisher",https://www.jpbox-office.com/fichfilm.php?id=1975&view=2
,,,  08/05/2013,17 194,,Thriller,Suède,,"
                                    Lasse Hallstrom",,,"
                UGC Distribution","
                            L'Hypnotiseur",https://www.jpbox-office.com/fichfilm.php?id=13536&view=2
,? $,,  08/05/2013,17 194,,Thriller,Suède,,"
                                    Lasse Hallstrom",,,"
                UGC Distribution","
                            L'Hypnotiseur",https://www.jpbox-office.com/fichfilm.php?id=13536&view=2
"
                            Casey Affleck,
                            Rooney Mara",,,  20/12/2017,17 230,,Drame,Etats-Unis,,,,,"
                Universal","
                            A Ghost Story",https://www.jpbox-office.com/fichfilm.php?id=17216&view=2
"
                            Casey Affleck,
                            Rooney Mara",100 000 $,,  20/12/2017,17 230,,Drame,Etats-Unis,,,,,"
                Universal","
                            A Ghost Story",https://www.jpbox-office.com/fichfilm.php?id=17216&view=2
"
                            Michelle Pfeiffer,
                            Colin Firth",,,  13/05/1998,17 245,,Comédie dramatique,Etats-Unis,,,,,"
                Polygram","
                            Secrets",https://www.jpbox-office.com/fichfilm.php?id=3543&view=2
"
                            Michelle Pfeiffer,
                            Colin Firth",? $,,  13/05/1998,17 245,,Comédie dramatique,Etats-Unis,,,,,"
                Polygram","
                            Secrets",https://www.jpbox-office.com/fichfilm.php?id=3543&view=2
,22 000 000 $,,  14/03/2018,16 920,,Aventure - Action,Etats-Unis,,,,,"
                Sony Pictures","
                            L'Affaire Roman J.",https://www.jpbox-office.com/fichfilm.php?id=17513&view=2
"
                            Denzel Washington,
                            Colin Farrell",22 000 000 $,James Newton Howard,  14/03/2018,16 920,,Aventure - Action,Etats-Unis,,,,,"
                Sony Pictures","
                            L'Affaire Roman J.",https://www.jpbox-office.com/fichfilm.php?id=17513&view=2
,2 031 105 €,,  02/02/2011,16 551,,Drame,France,,,,,"
                Mars Distribution","
                            Contre toi",https://www.jpbox-office.com/fichfilm.php?id=11781&view=2
"
                            Pio Marmaï,
                            Kristin Scott Thomas",2 031 105 €,,  02/02/2011,16 551,,Drame,France,,,,,"
                Mars Distribution","
                            Contre toi",https://www.jpbox-office.com/fichfilm.php?id=11781&view=2
,3 600 000 €,,  28/12/2016,16 591,,Drame,France,,,,,"
                Haut et Court","
                            L'Ami, François d'Assise et ses frères",https://www.jpbox-office.com/fichfilm.php?id=16674&view=2
"
                            Jérémy Renier,
                            Oliver Gourmet",3 600 000 €,,  28/12/2016,16 591,,Drame,France,,,,,"
                Haut et Court","
                            L'Ami, François d'Assise et ses frères",https://www.jpbox-office.com/fichfilm.php?id=16674&view=2
"
                            Agnès Jaoui",,,  19/10/2022,16 611,,Animation,Belgique,,,,,"
                Gébéka","
                            Yuku et la fleur de l’Himalaya",https://www.jpbox-office.com/fichfilm.php?id=22451&view=2
"
                            Agnès Jaoui",109 382 ,,  19/10/2022,16 611,,Animation,Belgique,,,,,"
                Gébéka","
                            Yuku et la fleur de l’Himalaya",https://www.jpbox-office.com/fichfilm.php?id=22451&view=2
,? $,,  29/12/2004,16 163,,Drame,Etats-Unis,,,,,"
                Fabrique de Films","
                            Nous étions libres",https://www.jpbox-office.com/fichfilm.php?id=1297&view=2
"
                            Penelope Cruz,
                            Charlize Theron",? $,,  29/12/2004,16 163,,Drame,Etats-Unis,,,,,"
                Fabrique de Films","
                            Nous étions libres",https://www.jpbox-office.com/fichfilm.php?id=1297&view=2
,,,  10/12/1997,16 150,,Drame,Chine,,"
                                    Wong Kar-Wai",,,"
                ARP Selection","
                            Happy Together",https://www.jpbox-office.com/fichfilm.php?id=3505&view=2
,? $,,  10/12/1997,16 150,,Drame,Chine,,"
                                    Wong Kar-Wai",,,"
                ARP Selection","
                            Happy Together",https://www.jpbox-office.com/fichfilm.php?id=3505&view=2
"
                            Casey Affleck,
                            Rooney Mara",,,  18/09/2013,16 195,,Drame,Etats-Unis,,,,,"
                Diaphana","
                            Les Amants du Texas",https://www.jpbox-office.com/fichfilm.php?id=13764&view=2
"
                            Casey Affleck,
                            Rooney Mara",3 000 000 $,,  18/09/2013,16 195,,Drame,Etats-Unis,,,,,"
                Diaphana","
                            Les Amants du Texas",https://www.jpbox-office.com/fichfilm.php?id=13764&view=2
,500 000 $,,  16/08/2006,15 759,,Drame,Etats-Unis,,"
                                    Rian Johnson",,,"
                Mars Distribution","
                            Brick",https://www.jpbox-office.com/fichfilm.php?id=17916&view=2
"
                            Joseph Gordon-Levitt",500 000 $,,  16/08/2006,15 759,,Drame,Etats-Unis,,"
                                    Rian Johnson",,,"
                Mars Distribution","
                            Brick",https://www.jpbox-office.com/fichfilm.php?id=17916&view=2
"
                            Monica Bellucci,
                            Robert De Niro",,,  15/06/2011,15 798,,Romance,Italie,,,,,"
                Bellissima Films","
                            L'Amour a ses raisons",https://www.jpbox-office.com/fichfilm.php?id=12113&view=2
"
                            John Malkovich,
                            Melvil Poupaud,
                            Vincent Perez,
                            Elsa Zylberstein,
                            Michel Piccoli",,,  21/11/2012,15 803,,Drame,Portugal,,,,,"
                Alfama Films","
                            Les Lignes de Wellington",https://www.jpbox-office.com/fichfilm.php?id=13114&view=2
"
                            Monica Bellucci,
                            Robert De Niro",? $,,  15/06/2011,15 798,,Romance,Italie,,,,,"
                Bellissima Films","
                            L'Amour a ses raisons",https://www.jpbox-office.com/fichfilm.php?id=12113&view=2
"
                            John Malkovich,
                            Melvil Poupaud,
                            Vincent Perez,
                            Elsa Zylberstein,
                            Michel Piccoli",37 419 ,,  21/11/2012,15 803,,Drame,Portugal,,,,,"
                Alfama Films","
                            Les Lignes de Wellington",https://www.jpbox-office.com/fichfilm.php?id=13114&view=2
,? $,,  11/03/2020,15 510,,Thriller,Islande,,,,,"
                The Jokers / Les Bookmakers","
                            Vivarium",https://www.jpbox-office.com/fichfilm.php?id=20131&view=2
"
                            Jesse Eisenberg",? $,,  11/03/2020,15 510,,Thriller,Islande,,,,,"
                The Jokers / Les Bookmakers","
                            Vivarium",https://www.jpbox-office.com/fichfilm.php?id=20131&view=2
,1 000 000 $,,  02/03/2005,15 229,,X - Erotique,Grande-Bretagne,,"
                                    Michael Winterbottom",,,"
                Pan-Européenne","
                            9 Songs",https://www.jpbox-office.com/fichfilm.php?id=11185&view=2
,,,  29/10/2003,15 018,,Drame,Grande-Bretagne,,"
                                    Michael Winterbottom",,,"
                Haut et Court","
                            In This World",https://www.jpbox-office.com/fichfilm.php?id=16748&view=2
,? $,,  29/10/2003,15 018,,Drame,Grande-Bretagne,,"
                                    Michael Winterbottom",,,"
                Haut et Court","
                            In This World",https://www.jpbox-office.com/fichfilm.php?id=16748&view=2
"
                            Colin Firth",,,  15/04/2009,15 033,,Drame,Etats-Unis,,"
                                    Michael Winterbottom",,,"
                Diaphana","
                            Un été italien",https://www.jpbox-office.com/fichfilm.php?id=10675&view=2
,? $,,  27/11/2013,15 074,,Animation,Grande-Bretagne,,,,,"
                Films du Préau","
                            La Sorcière dans les airs",https://www.jpbox-office.com/fichfilm.php?id=13880&view=2
"
                            Colin Firth",? $,,  15/04/2009,15 033,,Drame,Etats-Unis,,"
                                    Michael Winterbottom",,,"
                Diaphana","
                            Un été italien",https://www.jpbox-office.com/fichfilm.php?id=10675&view=2
"
                            Simon Pegg",? $,,  27/11/2013,15 074,,Animation,Grande-Bretagne,,,,,"
                Films du Préau","
                            La Sorcière dans les airs",https://www.jpbox-office.com/fichfilm.php?id=13880&view=2
,1 000 000 $,,  23/11/2005,15 075,,Drame,Norvège,,,,,"
                ID Distribution","
                            Factotum",https://www.jpbox-office.com/fichfilm.php?id=948&view=2
"
                            Matt Dillon",1 000 000 $,,  23/11/2005,15 075,,Drame,Norvège,,,,,"
                ID Distribution","
                            Factotum",https://www.jpbox-office.com/fichfilm.php?id=948&view=2
,? $,,  07/01/2015,14 747,,Thriller,Corée du Sud,,,Remake,,"
                Bodega Films","
                            Hard Day",https://www.jpbox-office.com/fichfilm.php?id=14512&view=2
"
                            Jean Reno",,,  08/10/1997,14 798,,Romance,Grande-Bretagne,,,,,"
                Polygram","
                            Pour l'amour de Roseanna",https://www.jpbox-office.com/fichfilm.php?id=3559&view=2
"
                            Angelina Jolie,
                            Brad Pitt,
                            Niels Arestrup,
                            Mélanie Laurent,
                            Melvil Poupaud",,,  09/12/2015,14 752,,Drame,Etats-Unis,Brad Pitt,,,,"
                Universal","
                            Vue sur mer",https://www.jpbox-office.com/fichfilm.php?id=15507&view=2
"
                            Angelina Jolie,
                            Brad Pitt,
                            Niels Arestrup,
                            Mélanie Laurent,
                            Melvil Poupaud",10 000 000 $,,  09/12/2015,14 752,,Drame,Etats-Unis,Brad Pitt,,,,"
                Universal","
                            Vue sur mer",https://www.jpbox-office.com/fichfilm.php?id=15507&view=2
"
                            Jean Reno",? $,,  08/10/1997,14 798,,Romance,Grande-Bretagne,,,,,"
                Polygram","
                            Pour l'amour de Roseanna",https://www.jpbox-office.com/fichfilm.php?id=3559&view=2
,? $,,  06/07/2022,14 818,,Science Fiction,Etats-Unis,,,,,"
                Condor Distribution","
                            After Yang",https://www.jpbox-office.com/fichfilm.php?id=21249&view=2
"
                            Colin Farrell",? $,,  06/07/2022,14 818,,Science Fiction,Etats-Unis,,,,,"
                Condor Distribution","
                            After Yang",https://www.jpbox-office.com/fichfilm.php?id=21249&view=2
"
                            Gwyneth Paltrow,
                            Mark Ruffalo,
                            Mike Myers",,,  01/10/2003,14 531,,Romance,Etats-Unis,,,,,"
                TFM Distribution","
                            Hôtesse à tout prix",https://www.jpbox-office.com/fichfilm.php?id=1657&view=2
,100 000 000 $,,  26/08/2009,14 456,,Film familial,Etats-Unis,,"
                                    Brad Silberling",,,"
                Universal","
                            Le Monde (presque) perdu",https://www.jpbox-office.com/fichfilm.php?id=10415&view=2
"
                            Gwyneth Paltrow,
                            Mark Ruffalo,
                            Mike Myers",? $,,  01/10/2003,14 531,,Romance,Etats-Unis,,,,,"
                TFM Distribution","
                            Hôtesse à tout prix",https://www.jpbox-office.com/fichfilm.php?id=1657&view=2
,1 000 000 $,,  06/03/2013,14 061,,Comédie dramatique,Etats-Unis,,,,,"
                20th Century Fox","
                            The Sessions",https://www.jpbox-office.com/fichfilm.php?id=13090&view=2
