acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre,Nb_celebrites,Est_Top_Studio
"François Civil,Vincent Cassel,Romain Duris",23,121,1007159,"Aventure,Historique",France,Martin Bourboulon,Pathé,Les Trois Mousquetaires: D'Artagnan,3,1
"Marion Cotillard,Marie Bunel,Marie-Christine Adam",6,95,26508,Drame,France,Mona Achache,Tandem,Little Girl Blue,1,0
"David Harbour,Orlando Bloom,Archie Madekwe",10,134,382349,"Action,Drame",U.S.A.,Neill Blomkamp,Sony Pictures Releasing France,Gran Turismo,0,0
"Jan Bülow,Olivia Ross,Hanns Zischler",0,118,9404,"Drame,Thriller",Allemagne,Timm Kröger,UFO Distribution,Universal Theory,0,0
"François Civil,Vincent Cassel,Romain Duris",15,115,711192,"Aventure,Historique",France,Martin Bourboulon,Pathé,Les Trois Mousquetaires: Milady,3,1
,0,38,10004,"Animation,Famille",Grande-Bretagne,Lucy Izzard,Cinéma Public Films,Les Toutes Petites Créatures,0,0
"Kev Adams,Gérard Jugnot,Claire Chust",8,93,101739,Comédie,France,Christophe Barratier,Apollo Films / Orange Studio,Comme par magie,0,0
"John David Washington,Gemma Chan,Ken Watanabe",13,133,262507,"Aventure,Drame,Science Fiction",U.S.A.,Gareth Edwards (V),The Walt Disney Company France,The Creator,0,0
"David Harbour,John Leguizamo,Alex Hassell",13,112,88083,"Action,Thriller",U.S.A.,Tommy Wirkola,Universal Pictures International France,Violent Night,0,0
"Pierre Niney,Stacy Martin,Benoît Magimel",8,100,136003,"Drame,Thriller",France,Nicole Garcia,Wild Bunch Distribution,Amants,2,0
"Xolo Maridueña,Bruna Marquezine,Susan Sarandon",13,128,239733,"Action,Aventure,Science Fiction",U.S.A.,Angel Manuel Soto,Warner Bros. France,Blue Beetle,0,0
"Benjamin Lavernhe,Emmanuelle Bercot,Michel Vuillermoz",10,138,350564,"Biopic,Drame",France,Frédéric Tellier,SND,L'Abbé Pierre - Une vie de combats,1,1
