,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,remake,salles_premiere_semaine,titre,scoring_acteurs_realisateurs,season,coeff_studio
114,60000000,,2014-02-19,100,472708,,Animation,Etats-Unis,,,521,La Grande Aventure Lego,0.1379310344827586,Hiver,3
115,12000000,,1998-04-01,150,473410,,Drame,Etats-Unis,,,385,Jackie Brown,0.5517241379310345,Printemps,0
116,75000000,Danny Elfman,2008-07-16,110,473478,,Aventure - Action,Etats-Unis,,,497,Wanted : choisis ton destin,0.3793103448275862,Été,3
117,163000000,,2011-08-24,117,453467,,Science Fiction,Etats-Unis,Steven Spielberg,,480,Cowboys & envahisseurs,0.2413793103448275,Été,3
118,45000000,,2006-04-12,129,452311,,Thriller,Etats-Unis,Brian Grazer,,341,Inside Man,0.5517241379310345,Printemps,0
119,195000000,,2023-06-07,117,451052,Franchise,Science Fiction,Etats-Unis,Steven Spielberg,,640,Transformers: Rise Of The Beasts,0.0,Été,3
120,30000000,,2005-10-12,85,452343,,Animation,Grande-Bretagne,,,570,Wallace et Gromit: Le Mystère du lapin-garou,0.0689655172413793,Automne,0
121,9825916,,2010-11-03,115,454568,,Thriller,France,Pierre-Ange Le Pogam,,350,L'Homme qui voulait vivre sa vie,0.7931034482758621,Automne,2
122,12000000,,2017-02-22,129,454909,,Drame,Etats-Unis,,,315,Lion,0.3448275862068966,Hiver,2
123,5904179,,2017-01-18,95,455096,,Comédie,France,,,396,Il a déjà tes yeux,0.0,Hiver,2
124,78000000,,2003-10-01,110,453205,,Aventure - Action,Etats-Unis,,,552,La Ligue des gentlemen extraordinaires,0.1379310344827586,Automne,2
125,38000000,,2010-08-11,85,453251,,Animation,Belgique,,,577,Le Voyage extraordinaire de Samy,0.2068965517241379,Été,2
126,150000000,Hans Zimmer,2005-06-15,140,452777,Franchise,Comicbook,Etats-Unis,,,770,Batman Begins,0.7586206896551724,Été,3
127,20000000,,2009-04-22,102,452343,,Comédie,Etats-Unis,,,392,17 ans encore,0.0344827586206896,Printemps,0
128,90000000,Alan Silvestri,1997-08-27,103,450126,,Catastrophe,Etats-Unis,Neal H. Moritz,,369,Volcano,0.0,Été,2
129,55000000,,2008-11-12,140,452651,,Thriller,Etats-Unis,Brian Grazer,,417,L'Echange,0.7586206896551724,Automne,3
130,80000000,John Williams,2000-07-12,160,442823,,Aventure - Action,Etats-Unis,Dean Devlin,,591,The Patriot - Le Chemin de la liberté,0.1379310344827586,Été,3
131,37000000,,2008-12-10,97,444259,,Comédie,Etats-Unis,,,475,Burn After Reading,0.8620689655172413,Hiver,2
132,18070000,,2004-10-13,130,444610,,Aventure - Action,France,,,599,Arsène Lupin,0.1724137931034483,Automne,2
133,13000000,,2009-05-13,140,444618,Franchise,Thriller,Suède,,Remake,552,"Millenium, le film",0.0344827586206896,Printemps,2
134,140000000,Alan Silvestri,2011-08-17,125,444480,Franchise,Comicbook,Etats-Unis,Kevin Feige,,500,Captain America,0.2068965517241379,Été,3
135,200000000,James Newton Howard,2011-08-10,105,423226,,Comicbook,Etats-Unis,,,435,Green Lantern,0.1379310344827586,Été,3
136,4500000,,2019-03-13,87,422241,,Comédie,France,,,388,Rebelles,0.0,Printemps,2
137,90000000,,2019-04-03,93,422524,,Animation,Etats-Unis,,,637,Le Parc des merveilles,0.0,Printemps,3
138,6300000,,2019-08-07,99,425378,Franchise,Comédie,France,,,425,C'est quoi cette mamie?!,0.0,Été,2
139,120000000,,2012-12-19,127,426112,,Aventure - Action,Etats-Unis,,,589,L'Odyssée de Pi,0.4137931034482758,Hiver,3
140,75000000,John Williams,2006-01-25,164,425873,,Thriller,Etats-Unis,Steven Spielberg,,446,Munich,0.8620689655172413,Hiver,0
141,178000000,,2014-06-04,113,425198,,Science Fiction,Etats-Unis,,,585,Edge of Tomorrow,0.5862068965517241,Été,3
142,27000000,,2005-01-19,105,425266,,Drame,Etats-Unis,,,326,Closer - Entre adultes consentants,0.4827586206896552,Hiver,1
